=== CONDUCTOR PLAN PROGRESSION (120k→800k session, 70k budget, my-customize-conductor) ===
Each line: plan #N: X folds, Y groups
Stable group count (1) = one rollover group replayed per turn
Growing fold count = new blocks folded as context grows
No restores = frozen prefix respected (the fix)

Accordion connected (1 attached)
plan #668: 31 folds, 1 groups (logged, not applied)
plan #669: 31 folds, 1 groups (logged, not applied)
plan #670: 31 folds, 1 groups (logged, not applied)
plan #671: 31 folds, 1 groups (logged, not applied)
plan #672: 31 folds, 1 groups (logged, not applied)
plan #673: 31 folds, 1 groups (logged, not applied)
plan #674: 31 folds, 1 groups (logged, not applied)
plan #675: 31 folds, 1 groups (logged, not applied)
plan #676: 31 folds, 1 groups (logged, not applied)
plan #677: 31 folds, 1 groups (logged, not applied)
plan #678: 32 folds, 1 groups (logged, not applied)
plan #679: 32 folds, 1 groups (logged, not applied)
plan #680: 32 folds, 1 groups (logged, not applied)
plan #681: 32 folds, 1 groups (logged, not applied)
plan #682: 32 folds, 1 groups (logged, not applied)
plan #683: 32 folds, 1 groups (logged, not applied)
plan #684: 32 folds, 1 groups (logged, not applied)
plan #685: 32 folds, 1 groups (logged, not applied)
plan #686: 33 folds, 1 groups (logged, not applied)
plan #687: 33 folds, 1 groups (logged, not applied)
plan #688: 33 folds, 1 groups (logged, not applied)
plan #689: 33 folds, 1 groups (logged, not applied)
plan #690: 33 folds, 1 groups (logged, not applied)
plan #691: 33 folds, 1 groups (logged, not applied)
plan #692: 33 folds, 1 groups (logged, not applied)
plan #693: 33 folds, 1 groups (logged, not applied)
plan #694: 33 folds, 1 groups (logged, not applied)
plan #695: 33 folds, 1 groups (logged, not applied)
plan #696: 33 folds, 1 groups (logged, not applied)
plan #697: 33 folds, 1 groups (logged, not applied)
plan #698: 34 folds, 1 groups (logged, not applied)
plan #699: 34 folds, 1 groups (logged, not applied)
plan #700: 34 folds, 1 groups (logged, not applied)
plan #701: 34 folds, 1 groups (logged, not applied)
plan #702: 34 folds, 1 groups (logged, not applied)
plan #703: 35 folds, 1 groups (logged, not applied)
plan #704: 35 folds, 1 groups (logged, not applied)
plan #705: 35 folds, 1 groups (logged, not applied)
plan #706: 35 folds, 1 groups (logged, not applied)
plan #707: 35 folds, 1 groups (logged, not applied)
plan #708: 35 folds, 1 groups (logged, not applied)
plan #709: 35 folds, 1 groups (logged, not applied)
plan #710: 35 folds, 1 groups (logged, not applied)
plan #711: 36 folds, 1 groups (logged, not applied)
plan #712: 36 folds, 1 groups (logged, not applied)
plan #713: 36 folds, 1 groups (logged, not applied)
plan #714: 36 folds, 1 groups (logged, not applied)
plan #715: 36 folds, 1 groups (logged, not applied)
plan #716: 36 folds, 1 groups (logged, not applied)
plan #717: 36 folds, 1 groups (logged, not applied)
plan #718: 36 folds, 1 groups (logged, not applied)
plan #719: 37 folds, 1 groups (logged, not applied)
plan #720: 37 folds, 1 groups (logged, not applied)
plan #721: 37 folds, 1 groups (logged, not applied)
plan #722: 37 folds, 1 groups (logged, not applied)
plan #723: 37 folds, 1 groups (logged, not applied)
plan #724: 37 folds, 1 groups (logged, not applied)
plan #725: 37 folds, 1 groups (logged, not applied)
plan #726: 37 folds, 1 groups (logged, not applied)
plan #727: 37 folds, 1 groups (logged, not applied)
plan #728: 38 folds, 1 groups (logged, not applied)
plan #729: 38 folds, 1 groups (logged, not applied)
plan #730: 38 folds, 1 groups (logged, not applied)
plan #731: 38 folds, 1 groups (logged, not applied)
plan #732: 38 folds, 1 groups (logged, not applied)
plan #733: 38 folds, 1 groups (logged, not applied)
plan #734: 38 folds, 1 groups (logged, not applied)
plan #735: 38 folds, 1 groups (logged, not applied)
plan #736: 38 folds, 1 groups (logged, not applied)
plan #737: 38 folds, 1 groups (logged, not applied)
plan #738: 38 folds, 1 groups (logged, not applied)
plan #739: 38 folds, 1 groups (logged, not applied)
plan #740: 38 folds, 1 groups (logged, not applied)
plan #741: 38 folds, 1 groups (logged, not applied)
plan #742: 38 folds, 1 groups (logged, not applied)
plan #743: 40 folds, 1 groups (logged, not applied)
plan #744: 40 folds, 1 groups (logged, not applied)
plan #745: 40 folds, 1 groups (logged, not applied)
plan #746: 40 folds, 1 groups (logged, not applied)
plan #747: 42 folds, 1 groups (logged, not applied)
plan #748: 42 folds, 1 groups (logged, not applied)
plan #749: 42 folds, 1 groups (logged, not applied)
plan #750: 42 folds, 1 groups (logged, not applied)
plan #751: 42 folds, 1 groups (logged, not applied)
plan #752: 43 folds, 1 groups (logged, not applied)
plan #753: 44 folds, 1 groups (logged, not applied)
plan #754: 44 folds, 1 groups (logged, not applied)
plan #755: 44 folds, 1 groups (logged, not applied)
plan #756: 46 folds, 1 groups (logged, not applied)
plan #757: 46 folds, 1 groups (logged, not applied)
plan #758: 46 folds, 1 groups (logged, not applied)
plan #759: 46 folds, 1 groups (logged, not applied)
plan #760: 47 folds, 1 groups (logged, not applied)
plan #761: 47 folds, 1 groups (logged, not applied)
plan #762: 47 folds, 1 groups (logged, not applied)
plan #763: 47 folds, 1 groups (logged, not applied)
plan #764: 47 folds, 1 groups (logged, not applied)
plan #765: 47 folds, 1 groups (logged, not applied)
plan #766: 47 folds, 1 groups (logged, not applied)
plan #767: 47 folds, 1 groups (logged, not applied)
plan #768: 47 folds, 1 groups (logged, not applied)
plan #769: 47 folds, 1 groups (logged, not applied)
plan #770: 47 folds, 1 groups (logged, not applied)
plan #771: 47 folds, 1 groups (logged, not applied)
plan #772: 47 folds, 1 groups (logged, not applied)
plan #773: 47 folds, 1 groups (logged, not applied)
plan #774: 47 folds, 1 groups (logged, not applied)
plan #775: 47 folds, 1 groups (logged, not applied)
plan #776: 47 folds, 1 groups (logged, not applied)
plan #777: 47 folds, 1 groups (logged, not applied)
plan #778: 47 folds, 1 groups (logged, not applied)
plan #779: 47 folds, 1 groups (logged, not applied)
plan #780: 48 folds, 1 groups (logged, not applied)
plan #781: 48 folds, 1 groups (logged, not applied)
plan #782: 48 folds, 1 groups (logged, not applied)
plan #783: 48 folds, 1 groups (logged, not applied)
plan #784: 48 folds, 1 groups (logged, not applied)
plan #785: 48 folds, 1 groups (logged, not applied)
plan #786: 48 folds, 1 groups (logged, not applied)
plan #787: 48 folds, 1 groups (logged, not applied)
plan #788: 48 folds, 1 groups (logged, not applied)
plan #789: 48 folds, 1 groups (logged, not applied)
plan #790: 48 folds, 1 groups (logged, not applied)
plan #791: 48 folds, 1 groups (logged, not applied)
plan #792: 48 folds, 1 groups (logged, not applied)
plan #793: 48 folds, 1 groups (logged, not applied)
plan #794: 48 folds, 1 groups (logged, not applied)
plan #795: 48 folds, 1 groups (logged, not applied)
plan #796: 48 folds, 1 groups (logged, not applied)
plan #797: 48 folds, 1 groups (logged, not applied)
plan #798: 48 folds, 1 groups (logged, not applied)
plan #799: 48 folds, 1 groups (logged, not applied)
plan #800: 48 folds, 1 groups (logged, not applied)
plan #801: 48 folds, 1 groups (logged, not applied)
plan #802: 48 folds, 1 groups (logged, not applied)
plan #803: 48 folds, 1 groups (logged, not applied)
plan #804: 48 folds, 1 groups (logged, not applied)
plan #805: 48 folds, 1 groups (logged, not applied)
plan #806: 48 folds, 1 groups (logged, not applied)
plan #807: 48 folds, 1 groups (logged, not applied)
plan #808: 48 folds, 1 groups (logged, not applied)
plan #809: 48 folds, 1 groups (logged, not applied)
plan #810: 48 folds, 1 groups (logged, not applied)
plan #811: 48 folds, 1 groups (logged, not applied)
plan #812: 48 folds, 1 groups (logged, not applied)
plan #813: 48 folds, 1 groups (logged, not applied)
plan #814: 48 folds, 1 groups (logged, not applied)
plan #815: 48 folds, 1 groups (logged, not applied)
plan #816: 48 folds, 1 groups (logged, not applied)
plan #817: 48 folds, 1 groups (logged, not applied)
plan #818: 48 folds, 1 groups (logged, not applied)
plan #819: 48 folds, 1 groups (logged, not applied)
plan #820: 48 folds, 1 groups (logged, not applied)
plan #821: 48 folds, 1 groups (logged, not applied)
plan #822: 48 folds, 1 groups (logged, not applied)
plan #823: 48 folds, 1 groups (logged, not applied)
plan #824: 48 folds, 1 groups (logged, not applied)
plan #825: 48 folds, 1 groups (logged, not applied)
plan #826: 48 folds, 1 groups (logged, not applied)
plan #827: 48 folds, 1 groups (logged, not applied)
plan #828: 48 folds, 1 groups (logged, not applied)
plan #829: 48 folds, 1 groups (logged, not applied)
plan #830: 48 folds, 1 groups (logged, not applied)
plan #831: 48 folds, 1 groups (logged, not applied)
plan #832: 48 folds, 1 groups (logged, not applied)
plan #833: 48 folds, 1 groups (logged, not applied)
plan #834: 48 folds, 1 groups (logged, not applied)
plan #835: 48 folds, 1 groups (logged, not applied)
plan #836: 48 folds, 1 groups (logged, not applied)
plan #837: 48 folds, 1 groups (logged, not applied)
plan #838: 48 folds, 1 groups (logged, not applied)
plan #839: 48 folds, 1 groups (logged, not applied)
plan #840: 48 folds, 1 groups (logged, not applied)
plan #841: 48 folds, 1 groups (logged, not applied)
plan #842: 48 folds, 1 groups (logged, not applied)
plan #843: 48 folds, 1 groups (logged, not applied)
plan #844: 48 folds, 1 groups (logged, not applied)
plan #845: 48 folds, 1 groups (logged, not applied)
plan #846: 48 folds, 1 groups (logged, not applied)
plan #847: 48 folds, 1 groups (logged, not applied)
plan #848: 48 folds, 1 groups (logged, not applied)
plan #849: 48 folds, 1 groups (logged, not applied)
plan #850: 48 folds, 1 groups (logged, not applied)
plan #851: 48 folds, 1 groups (logged, not applied)
plan #852: 48 folds, 1 groups (logged, not applied)
plan #853: 48 folds, 1 groups (logged, not applied)
plan #854: 48 folds, 1 groups (logged, not applied)
plan #855: 48 folds, 1 groups (logged, not applied)
plan #856: 48 folds, 1 groups (logged, not applied)
plan #857: 48 folds, 1 groups (logged, not applied)
plan #858: 48 folds, 1 groups (logged, not applied)
plan #859: 48 folds, 1 groups (logged, not applied)
plan #860: 48 folds, 1 groups (logged, not applied)
plan #861: 48 folds, 1 groups (logged, not applied)
plan #862: 48 folds, 1 groups (logged, not applied)
plan #863: 48 folds, 1 groups (logged, not applied)
plan #864: 48 folds, 1 groups (logged, not applied)
plan #865: 48 folds, 1 groups (logged, not applied)
plan #866: 48 folds, 1 groups (logged, not applied)
plan #867: 48 folds, 1 groups (logged, not applied)
plan #868: 48 folds, 1 groups (logged, not applied)
plan #869: 48 folds, 1 groups (logged, not applied)
plan #870: 48 folds, 1 groups (logged, not applied)
plan #871: 48 folds, 1 groups (logged, not applied)
plan #872: 48 folds, 1 groups (logged, not applied)
plan #873: 48 folds, 1 groups (logged, not applied)
plan #874: 48 folds, 1 groups (logged, not applied)
plan #875: 48 folds, 1 groups (logged, not applied)
plan #876: 48 folds, 1 groups (logged, not applied)
plan #877: 48 folds, 1 groups (logged, not applied)
plan #878: 48 folds, 1 groups (logged, not applied)
plan #879: 48 folds, 1 groups (logged, not applied)
plan #880: 48 folds, 1 groups (logged, not applied)
plan #881: 48 folds, 1 groups (logged, not applied)
plan #882: 49 folds, 1 groups (logged, not applied)
plan #883: 49 folds, 1 groups (logged, not applied)
plan #884: 49 folds, 1 groups (logged, not applied)
plan #885: 49 folds, 1 groups (logged, not applied)
plan #886: 49 folds, 1 groups (logged, not applied)
plan #887: 49 folds, 1 groups (logged, not applied)
plan #888: 49 folds, 1 groups (logged, not applied)
plan #889: 49 folds, 1 groups (logged, not applied)
plan #890: 49 folds, 1 groups (logged, not applied)
plan #891: 49 folds, 1 groups (logged, not applied)
plan #892: 49 folds, 1 groups (logged, not applied)
plan #893: 49 folds, 1 groups (logged, not applied)
plan #894: 49 folds, 1 groups (logged, not applied)
plan #895: 49 folds, 1 groups (logged, not applied)
plan #896: 49 folds, 1 groups (logged, not applied)
plan #897: 49 folds, 1 groups (logged, not applied)
plan #898: 49 folds, 1 groups (logged, not applied)
plan #899: 49 folds, 1 groups (logged, not applied)
plan #900: 49 folds, 1 groups (logged, not applied)
plan #901: 49 folds, 1 groups (logged, not applied)
plan #902: 49 folds, 1 groups (logged, not applied)
plan #903: 49 folds, 1 groups (logged, not applied)
plan #904: 49 folds, 1 groups (logged, not applied)
plan #905: 49 folds, 1 groups (logged, not applied)
plan #906: 49 folds, 1 groups (logged, not applied)
plan #907: 49 folds, 1 groups (logged, not applied)
plan #908: 49 folds, 1 groups (logged, not applied)
plan #909: 50 folds, 1 groups (logged, not applied)
plan #910: 50 folds, 1 groups (logged, not applied)
plan #911: 50 folds, 1 groups (logged, not applied)
plan #912: 50 folds, 1 groups (logged, not applied)
plan #913: 51 folds, 1 groups (logged, not applied)
plan #914: 51 folds, 1 groups (logged, not applied)
plan #915: 51 folds, 1 groups (logged, not applied)
plan #916: 51 folds, 1 groups (logged, not applied)
plan #917: 51 folds, 1 groups (logged, not applied)
plan #918: 51 folds, 1 groups (logged, not applied)
plan #919: 51 folds, 1 groups (logged, not applied)
plan #920: 51 folds, 1 groups (logged, not applied)
plan #921: 51 folds, 1 groups (logged, not applied)
plan #922: 51 folds, 1 groups (logged, not applied)
plan #923: 51 folds, 1 groups (logged, not applied)
plan #924: 51 folds, 1 groups (logged, not applied)
plan #925: 52 folds, 1 groups (logged, not applied)
plan #926: 52 folds, 1 groups (logged, not applied)
plan #927: 52 folds, 1 groups (logged, not applied)
plan #928: 52 folds, 1 groups (logged, not applied)
plan #929: 52 folds, 1 groups (logged, not applied)
plan #930: 52 folds, 1 groups (logged, not applied)
plan #931: 52 folds, 1 groups (logged, not applied)
plan #932: 52 folds, 1 groups (logged, not applied)
plan #933: 52 folds, 1 groups (logged, not applied)
plan #934: 52 folds, 1 groups (logged, not applied)
plan #935: 52 folds, 1 groups (logged, not applied)
plan #936: 52 folds, 1 groups (logged, not applied)
plan #937: 52 folds, 1 groups (logged, not applied)
plan #938: 52 folds, 1 groups (logged, not applied)
plan #939: 52 folds, 1 groups (logged, not applied)
plan #940: 52 folds, 1 groups (logged, not applied)
plan #941: 52 folds, 1 groups (logged, not applied)
plan #942: 52 folds, 1 groups (logged, not applied)
plan #943: 52 folds, 1 groups (logged, not applied)
plan #944: 52 folds, 1 groups (logged, not applied)
plan #945: 52 folds, 1 groups (logged, not applied)
plan #946: 52 folds, 1 groups (logged, not applied)
plan #947: 52 folds, 1 groups (logged, not applied)
plan #948: 52 folds, 1 groups (logged, not applied)
plan #949: 52 folds, 1 groups (logged, not applied)
